tweet_id,retweet_count,favorite_count
853639147608842240,8679,30695
853299958564483072,3108,13695
852936405516943360,1752,0
852912242202992640,1551,7979
852672615818899456,1870,13202
852553447878664193,3048,14429
852311364735569921,8663,29428
852226086759018497,5939,17786
852189679701164033,1394,10218
851591660324737024,3056,14506
851464819735769094,6164,21608
851224888060895234,5046,18453
850753642995093505,7932,27338
850380195714523136,2278,11670
850333567704068097,297,3085
850145622816686080,3319,14587
850019790995546112,4279,18190
849776966551130114,6667,27068
849668094696017920,4339,0
849412302885593088,2770,14223
849336543269576704,1650,10213
849051919805034497,7443,37728
848690551926992896,3849,22495
848324959059550208,4072,22133
848213670039564288,632,7290
848212111729840128,2655,14551
847978865427394560,2848,0
847971574464610304,382,0
847962785489326080,4480,21117
847842811428974592,1166,4887
847617282490613760,369,6235
847606175596138505,3017,16835
847251039262605312,3828,18378
847157206088847362,5120,17778
847116187444137987,2813,19211
846874817362120707,3479,18086
846514051647705089,10165,39914
846505985330044928,2696,12624
846153765933735936,7986,28295
846139713627017216,8935,27919
846042936437604353,2529,14363
845812042753855489,7696,26214
845677943972139009,4286,22681
845397057150107648,1578,6868
845306882940190720,4755,20990
845098359547420673,6787,0
844979544864018432,2276,12319
844973813909606400,2793,13540
844580511645339650,2761,14800
844223788422217728,1958,12317
843981021012017153,2644,13697
843856843873095681,4088,19356
843604394117681152,2429,15254
843235543001513987,5280,19391
842846295480000512,3230,13811
842765311967449089,1157,6115
842535590457499648,3091,16350
842163532590374912,5142,22062
842115215311396866,2687,12662
841833993020538882,13289,0
841680585030541313,6988,23275
841439858740625411,3223,11349
841320156043304961,4911,17872
841314665196081154,4151,14306
841077006473256960,4772,20602
840761248237133825,1581,0
840728873075638272,14342,0
840698636975636481,2,155
840696689258311684,867,11133
840632337062862849,1581,8167
840370681858686976,4076,14855
840268004936019968,5095,17365
839990271299457024,2018,12153
839549326359670784,6928,24834
839290600511926273,128,0
839239871831150596,5804,24508
838952994649550848,3586,17842
838921590096166913,1815,10092
838916489579200512,29,0
838831947270979586,9793,0
838561493054533637,1204,9893
838476387338051585,4274,20406
838201503651401729,8996,0
838150277551247360,296,1532
838085839343206401,0,127
838083903487373313,2792,15979
837820167694528512,7013,30895
837482249356513284,397,3487
837471256429613056,2026,11614
837110210464448512,2141,14588
836989968035819520,2071,11594
836753516572119041,4163,17576
836677758902222849,1972,11479
836648853927522308,496,0
836397794269200385,24554,0
836380477523124226,2687,13462
836260088725786625,3894,19315
836001077879255040,3816,17352
835685285446955009,7261,0
835574547218894849,3235,16150
835536468978302976,1520,0
835309094223372289,18700,0
835297930240217089,2679,14925
835264098648616962,1520,7008
835246439529840640,63,1947
835172783151792128,5183,23812
835152434251116546,2693,20347
834931633769889797,1458,9796
834786237630337024,4987,19534
834574053763584002,2265,12430
834477809192075265,9549,0
834458053273591808,1513,8762
834209720923721728,4244,18681
834167344700198914,3279,14340
834089966724603904,1922,9157
834086379323871233,1996,11863
833863086058651648,2159,12227
833826103416520705,3425,16587
833732339549220864,199,0
833722901757046785,2940,19042
833479644947025920,1845,13596
833124694597443584,4339,18390
832998151111966721,1956,12057
832769181346996225,37,0
832757312314028032,3248,15336
832682457690300417,2598,10825
832645525019123713,473,2644
832636094638288896,2493,14423
